id_alimento_anmat,nombre,denominacion,marca,categoria,kcal_100g,unidad,proteinas_100g,grasas_100g,carbs_100g
31800,Horno,Tapas para empanadas,El condor,Pastas frescas sin relleno,360.0,g,7.67,15.0,50.0
31801,Pastas frescas al huevo: tallarines,,El condor,Pastas frescas sin relleno,267.0,g,7.3,1.5,56.0
31802,Pastas frescas: ñoquis,,El condor,Pastas frescas sin relleno,165.0,g,1.9,1.6,33.0
31803,Pascualina light,"Tapas para pascualina dietética, de contenido graso reducido",Alfonsina,Pastas frescas sin relleno,283.33,g,6.33,7.0,50.0
31804,Horno light,"Tapas para empanadas dietético, de contenido graso reducido",Alfonsina,Pastas frescas sin relleno,283.33,g,6.33,7.0,50.0
31805,Fecula de mandioca,,Cofaial,Harinas / sémolas / almidones,340.0,g,0.0,0.0,85.0
31806,Fécula de mandioca,,Femag,Harinas / sémolas / almidones,360.0,g,0.0,0.0,90.0
31807,Arroz tipo doble carolina calidad 00000,,Amanda,Cereales,344.0,g,7.6,0.0,82.0
31808,Arroz quebrado tipo largo fino de segunda calidad,,Tropero,Cereales,366.0,g,8.0,0.0,82.0
31809,Puré de mandioca instantáneo,,Aldema,Harinas / sémolas / almidones,330.0,g,0.0,0.0,83.33
31810,Sagu de mandioca,,Aldema,Harinas / sémolas / almidones,395.0,g,0.0,0.0,100.0
31811,Ac ad,Almidón modificado,Femag,Harinas / sémolas / almidones,360.0,g,0.0,0.0,90.0
31812,Masa para lasagna o canelones,,Alfonsina,Pastas frescas sin relleno,517.14,g,14.29,2.86,182.86
31813,Pastas frescas con espinaca: tallarines,,Alfonsina,Pastas frescas sin relleno,296.0,g,10.0,0.9,60.0
31814,Pastas frescas con morrón: tallarines,,Alfonsina,Pastas frescas sin relleno,296.0,g,10.0,0.9,60.0
31815,Sorrentnos de jamon y queso,Pastas frescas rellenas,Alfonsina,Pastas frescas rellenas,248.0,g,9.8,6.1,39.0
31816,Fecula de mandioca,,Flor de jardin,Harinas / sémolas / almidones,340.0,g,0.0,0.0,85.0
31817,Fecula de mandioca,,Montecarlo,Harinas / sémolas / almidones,360.0,g,0.0,0.0,90.0
31818,Premezcla para preparar chipa,,Aldema,Premezclas,336.0,g,0.0,3.6,76.0
31819,Fecula de mandioca,,Agrolandia,Harinas / sémolas / almidones,360.0,g,0.5,0.0,90.0
31820,Arroz blanco tipo largo ancho segunda calidad,,Canasta,Cereales,344.0,g,7.6,0.0,82.0
31821,Almidon de maiz,,Aldema,Harinas / sémolas / almidones,85.0,g,0.0,0.0,90.0
31822,Alfajor relleno de dulce de leche cubierto con baño de reposteria sabor limon,,El tucan,Pan y productos de panadería,420.0,g,7.0,11.67,70.0
31823,Maiz pisado colorado,,Fabiola,Cereales,426.0,g,10.0,2.2,94.0
31824,Catete,Harina de maiz,Fabiola,Harinas / sémolas / almidones,348.0,g,9.0,0.0,76.0
31825,Freir,Tapas para pastelitos,Alfonsina,Pastas frescas sin relleno,316.67,g,6.0,9.0,53.33
31826,Copetines. Freir,Tapas para empanadas,Alfonsina,Pastas frescas sin relleno,316.67,g,6.0,9.0,53.33
31827,Tapas para pascualina,,Alfonsina,Pastas frescas sin relleno,360.0,g,6.67,15.0,50.0
31828,Ravioles de verdura,Pastas frescas rellenas,Alfonsina,Pastas frescas rellenas,247.0,g,7.3,1.0,53.0
31829,Ravioles de pollo,Pastas frescas rellenas,Alfonsina,Pastas frescas rellenas,237.0,g,8.1,1.1,50.0
31830,Ravioles de ricota,Pastas frescas rellenas,Alfonsina,Pastas frescas rellenas,234.0,g,9.2,1.8,46.0
31831,Freir,Tapas para empanadas,Alfonsina,Pastas frescas sin relleno,316.67,g,6.0,9.0,53.33
31832,Horno. Tipo criolla,Tapas para empanadas,Alfonsina,Pastas frescas sin relleno,360.0,g,6.67,15.0,50.0
31833,Tallarines,Pastas frescas al huevo,Alfonsina,Pastas frescas sin relleno,267.0,g,7.3,1.5,56.0
